Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2uuJs2nltcYFh9pkKP7bW4,"Show Me","2000","Joey Bada$$",2022-07-22,220386,70,true,,2025-11-26T15:44:37Z,"hip hop,rap","Columbia",0.599,0.646,6,-6.326,1,0.337,0.222,0.00000436,0.128,0.638,176.153,4
spotify:track:7B1J53ECCbVKukD19Wyy5K,"I Know","The Last Slimeto","YoungBoy Never Broke Again",2022-08-05,150857,64,true,,2025-11-26T15:32:33Z,"","Never Broke Again, LLC",0.569,0.389,3,-8.032,0,0.0449,0.894,0,0.118,0.565,140.181,4
spotify:track:5AGxtuSExOSGRG3gsBaPdn,"Different Pages","To Be Eaten Alive","Mariah the Scientist",2023-10-27,146734,61,true,,2025-11-26T03:27:36Z,"alternative r&b","Buckles Laboratories/Epic",0.477,0.471,5,-9.355,0,0.0938,0.236,0,0.11,0.154,144.531,4
spotify:track:1Zh6jkW0bQ0b9RL3TR04Xv,"MISSION","MANIA","SoFaygo",2025-11-21,116178,52,true,,2025-11-25T18:40:02Z,"rage rap","Cactus Jack",0.651,0.606,11,-7.485,0,0.173,0.024,0.00000114,0.284,0.236,156.934,4
spotify:track:5PJQAI7y5qxxPe04Vp3b3H,"Slow Down","Body High","LUCKI",2014-08-07,190145,64,true,,2025-11-24T01:41:46Z,"cloud rap","Lucki Eck$",0.585,0.568,8,-9.624,1,0.149,0.323,0.0107,0.13,0.484,99.887,4
spotify:track:3vZGtceCbJVh5aDT4XhE0p,"2AM","Ctrl (Deluxe)","SZA",2022-06-09,242823,67,true,,2025-11-24T00:50:06Z,"r&b","Top Dawg Entertainment/RCA Records",0.504,0.267,9,-13.678,0,0.406,0.438,0,0.141,0.392,83.966,4
spotify:track:1AhRLlotY7XdyNa16M9VMD,"DEN!M","DOT/HEAD 2","Lil He77;Homixide Gang",2025-11-18,156599,40,true,,2025-11-23T21:17:53Z,"rage rap","Lil HE77",0.619,0.595,10,-11.654,0,0.235,0.00418,0,0.145,0.346,147.045,4
spotify:track:3EB9E9pczPstFPH8LyT5FW,"Designer Thangs","BANA","tana",2024-04-26,216000,40,true,,2025-11-23T08:02:36Z,"","Galactic Records / Republic Records",0.468,0.765,11,-5.003,0,0.121,0.0442,0,0.0965,0.184,180.029,4
spotify:track:4TXnWYcBwC4gtZ4gapLgE9,"shot caller","no service","sosocamo",2025-06-27,122181,46,true,,2025-11-23T07:39:47Z,"","broke",0.782,0.669,1,-8.907,1,0.0897,0.0596,0.00266,0.319,0.171,110.043,4
spotify:track:6Px7oJcPvMWLhwRHmao0Fe,"LUCID DREAMS (feat. Masego)","MUTT","Leon Thomas;Masego",2024-09-27,226254,67,true,,2025-11-23T02:33:24Z,"","EZMNY Records/Motown Records",0.725,0.642,7,-6.922,0,0.064,0.107,0.0738,0.108,0.556,154.853,4
